sequence_id	direction_group	exposure	group
18842_24	positive	whradjbmi	Sex-combined
18156_7	positive	whradjbmi	Sex-combined
9074_6	positive	whradjbmi	Sex-combined
19617_5	positive	whradjbmi	Sex-combined
3473_78	positive	whradjbmi	Sex-combined
5870_23	positive	whradjbmi	Sex-combined
3806_55	positive	whradjbmi	Sex-combined
10565_19	negative	whradjbmi	Sex-combined
4188_1	positive	whradjbmi	Sex-combined
3313_21	positive	whradjbmi	Sex-combined
6447_73	positive	whradjbmi	Sex-combined
7191_32	positive	whradjbmi	Sex-combined
3041_55	positive	whradjbmi	Sex-combined
13704_5	positive	whradjbmi	Sex-combined
7993_23	positive	whradjbmi	Sex-combined
7741_111	positive	whradjbmi	Sex-combined
8261_51	positive	whradjbmi	Sex-combined
9220_7	positive	whradjbmi	Sex-combined
14619_8	positive	whradjbmi	Sex-combined
15326_64	positive	whradjbmi	Sex-combined
17816_58	positive	whradjbmi	Sex-combined
10637_50	positive	whradjbmi	Sex-combined
3294_55	positive	whradjbmi	Sex-combined
15608_5	positive	whradjbmi	Sex-combined
12515_45	positive	whradjbmi	Sex-combined
12684_5	positive	whradjbmi	Sex-combined
9219_70	positive	whradjbmi	Sex-combined
15385_116	positive	whradjbmi	Sex-combined
4964_67	positive	whradjbmi	Sex-combined
7997_118	positive	whradjbmi	Sex-combined
7982_10	positive	whradjbmi	Sex-combined
7809_22	positive	whradjbmi	Sex-combined
9932_49	positive	whradjbmi	Sex-combined
12701_1	positive	whradjbmi	Sex-combined
13498_1	positive	whradjbmi	Sex-combined
11275_94	positive	whradjbmi	Sex-combined
17822_57	positive	whradjbmi	Sex-combined
12333_87	positive	whradjbmi	Sex-combined
2747_3	positive	whradjbmi	Sex-combined
17329_2	positive	whradjbmi	Sex-combined
8520_8	positive	whradjbmi	Sex-combined
7755_37	positive	whradjbmi	Sex-combined
5410_53	positive	whradjbmi	Sex-combined
18304_19	positive	whradjbmi	Sex-combined
5229_90	positive	whradjbmi	Sex-combined
9196_8	positive	whradjbmi	Sex-combined
9964_10	positive	whradjbmi	Sex-combined
11480_1	positive	whradjbmi	Sex-combined
10575_31	positive	whradjbmi	Sex-combined
13535_2	positive	whradjbmi	Sex-combined
16781_2	positive	whradjbmi	Sex-combined
2911_27	positive	whradjbmi	Sex-combined
9936_27	positive	whradjbmi	Sex-combined
10490_3	positive	whradjbmi	Sex-combined
17138_8	positive	whradjbmi	Sex-combined
18932_84	positive	whradjbmi	Sex-combined
9333_59	positive	whradjbmi	Sex-combined
12453_161	positive	whradjbmi	Sex-combined
10075_75	positive	whradjbmi	Sex-combined
2714_78	positive	whradjbmi	Sex-combined
5879_51	positive	whradjbmi	Sex-combined
8066_38	positive	whradjbmi	Sex-combined
9004_24	positive	whradjbmi	Sex-combined
8974_172	negative	whradjbmi	Sex-combined
6434_18	positive	whradjbmi	Sex-combined
9234_8	positive	whradjbmi	Sex-combined
15539_15	negative	whradjbmi	Sex-combined
5658_64	positive	whradjbmi	Sex-combined
9111_40	positive	whradjbmi	Sex-combined
11563_51	positive	whradjbmi	Sex-combined
14324_52	positive	whradjbmi	Sex-combined
9951_36	positive	whradjbmi	Sex-combined
17366_6	positive	whradjbmi	Sex-combined
6371_50	positive	whradjbmi	Sex-combined
3832_51	positive	whradjbmi	Sex-combined
8340_9	positive	whradjbmi	Sex-combined
6508_68	positive	whradjbmi	Sex-combined
5262_57	positive	whradjbmi	Sex-combined
5735_54	positive	whradjbmi	Sex-combined
5456_59	positive	whradjbmi	Sex-combined
2247_20	positive	whradjbmi	Sex-combined
7754_11	positive	whradjbmi	Sex-combined
17671_58	positive	whradjbmi	Sex-combined
2943_5	positive	whradjbmi	Sex-combined
17811_78	positive	whradjbmi	Sex-combined
5014_49	positive	whradjbmi	Sex-combined
7110_2	positive	whradjbmi	Sex-combined
8840_61	positive	whradjbmi	Sex-combined
17344_23	positive	whradjbmi	Sex-combined
14318_1	positive	whradjbmi	Sex-combined
3065_65	positive	whradjbmi	Sex-combined
18888_37	positive	whradjbmi	Sex-combined
9872_23	positive	whradjbmi	Sex-combined
18316_75	positive	whradjbmi	Sex-combined
10346_5	positive	whradjbmi	Sex-combined
15587_20	negative	whradjbmi	Sex-combined
18181_2	positive	whradjbmi	Sex-combined
4963_19	positive	whradjbmi	Sex-combined
5867_60	positive	whradjbmi	Sex-combined
18921_30	positive	whradjbmi	Sex-combined
6496_60	positive	whradjbmi	Sex-combined
3427_63	positive	whradjbmi	Sex-combined
10006_25	positive	whradjbmi	Sex-combined
19311_15	positive	whradjbmi	Sex-combined
12454_105	positive	whradjbmi	Sex-combined
14094_29	positive	whradjbmi	Sex-combined
7167_102	negative	whradjbmi	Sex-combined
5606_24	positive	whradjbmi	Sex-combined
8328_9	positive	whradjbmi	Sex-combined
12940_35	positive	whradjbmi	Sex-combined
16593_3	positive	whradjbmi	Sex-combined
9742_59	positive	whradjbmi	Sex-combined
13958_5	positive	whradjbmi	Sex-combined
13464_8	positive	whradjbmi	Sex-combined
2819_23	negative	whradjbmi	Sex-combined
8681_93	positive	whradjbmi	Sex-combined
18173_11	positive	whradjbmi	Sex-combined
7932_23	positive	whradjbmi	Sex-combined
4258_15	positive	whradjbmi	Sex-combined
10462_14	positive	whradjbmi	Sex-combined
3314_74	positive	whradjbmi	Sex-combined
13530_5	positive	whradjbmi	Sex-combined
15471_29	positive	whradjbmi	Sex-combined
19392_6	positive	whradjbmi	Sex-combined
7141_21	positive	whradjbmi	Sex-combined
16892_23	negative	whradjbmi	Sex-combined
13111_79	positive	whradjbmi	Sex-combined
13240_170	positive	whradjbmi	Sex-combined
6715_63	positive	whradjbmi	Sex-combined
4867_15	positive	whradjbmi	Sex-combined
12493_42	positive	whradjbmi	Sex-combined
19373_3	positive	whradjbmi	Sex-combined
15610_72	positive	whradjbmi	Sex-combined
7968_15	negative	whradjbmi	Sex-combined
5654_70	negative	whradjbmi	Sex-combined
19558_10	negative	whradjbmi	Sex-combined
2979_8	positive	whradjbmi	Sex-combined
12553_5	positive	whradjbmi	Sex-combined
6621_10	positive	whradjbmi	Sex-combined
14616_16	positive	whradjbmi	Sex-combined
8383_20	positive	whradjbmi	Sex-combined
11284_24	positive	whradjbmi	Sex-combined
17436_193	positive	whradjbmi	Sex-combined
5363_51	negative	whradjbmi	Sex-combined
4209_60	positive	whradjbmi	Sex-combined
19169_88	positive	whradjbmi	Sex-combined
4453_83	positive	whradjbmi	Sex-combined
5019_16	positive	whradjbmi	Sex-combined
7943_16	positive	whradjbmi	Sex-combined
7983_1	positive	whradjbmi	Sex-combined
11214_40	positive	whradjbmi	Sex-combined
15436_40	positive	whradjbmi	Sex-combined
13645_14	positive	whradjbmi	Sex-combined
10527_22	negative	whradjbmi	Sex-combined
13657_2	positive	whradjbmi	Sex-combined
3007_7	negative	whradjbmi	Sex-combined
4455_89	positive	whradjbmi	Sex-combined
12878_60	positive	whradjbmi	Sex-combined
18322_15	positive	whradjbmi	Sex-combined
11117_2	positive	whradjbmi	Sex-combined
15686_49	positive	whradjbmi	Sex-combined
11381_56	positive	whradjbmi	Sex-combined
10076_1	positive	whradjbmi	Sex-combined
11837_7	positive	whradjbmi	Sex-combined
13468_5	positive	whradjbmi	Sex-combined
14035_13	positive	whradjbmi	Sex-combined
6440_31	positive	whradjbmi	Sex-combined
2949_6	positive	whradjbmi	Sex-combined
3860_7	positive	whradjbmi	Sex-combined
5138_50	positive	whradjbmi	Sex-combined
14045_12	positive	whradjbmi	Sex-combined
13724_27	positive	whradjbmi	Sex-combined
8297_8	positive	whradjbmi	Sex-combined
5656_53	positive	whradjbmi	Sex-combined
19367_34	positive	whradjbmi	Sex-combined
16914_104	negative	whradjbmi	Sex-combined
7179_69	positive	whradjbmi	Sex-combined
9044_1	positive	whradjbmi	Sex-combined
18185_118	positive	whradjbmi	Sex-combined
8008_28	positive	whradjbmi	Sex-combined
6624_94	positive	whradjbmi	Sex-combined
7638_30	positive	whradjbmi	Sex-combined
10974_20	negative	whradjbmi	Sex-combined
6912_6	positive	whradjbmi	Sex-combined
16823_75	positive	whradjbmi	Sex-combined
13549_15	positive	whradjbmi	Sex-combined
13590_1	positive	whradjbmi	Sex-combined
11649_3	positive	whradjbmi	Sex-combined
9171_11	positive	whradjbmi	Sex-combined
12879_5	positive	whradjbmi	Sex-combined
8587_21	positive	whradjbmi	Sex-combined
13672_3	positive	whradjbmi	Sex-combined
6086_15	positive	whradjbmi	Sex-combined
2811_27	positive	whradjbmi	Sex-combined
5095_21	positive	whradjbmi	Sex-combined
12882_7	positive	whradjbmi	Sex-combined
9076_25	negative	whradjbmi	Sex-combined
13044_5	positive	whradjbmi	Sex-combined
2516_57	positive	whradjbmi	Sex-combined
16298_84	positive	whradjbmi	Sex-combined
15693_9	positive	whradjbmi	Sex-combined
9097_5	positive	whradjbmi	Sex-combined
3365_7	positive	whradjbmi	Sex-combined
13411_21	positive	whradjbmi	Sex-combined
3292_75	negative	whradjbmi	Sex-combined
5715_4	positive	whradjbmi	Sex-combined
11134_30	positive	whradjbmi	Sex-combined
5000_52	positive	whradjbmi	Sex-combined
15367_38	negative	whradjbmi	Sex-combined
14705_1	negative	whradjbmi	Sex-combined
15666_21	positive	whradjbmi	Sex-combined
11616_9	positive	whradjbmi	Sex-combined
15641_20	positive	whradjbmi	Sex-combined
12400_25	positive	whradjbmi	Sex-combined
10454_99	positive	whradjbmi	Sex-combined
12709_63	positive	whradjbmi	Sex-combined
7916_10	positive	whradjbmi	Sex-combined
9595_11	positive	whradjbmi	Sex-combined
9173_21	positive	whradjbmi	Sex-combined
11103_24	positive	whradjbmi	Sex-combined
4487_1	positive	whradjbmi	Sex-combined
18386_36	positive	whradjbmi	Sex-combined
4184_43	positive	whradjbmi	Sex-combined
3037_62	positive	whradjbmi	Sex-combined
11530_37	positive	whradjbmi	Sex-combined
6399_52	positive	whradjbmi	Sex-combined
7060_2	positive	whradjbmi	Sex-combined
11112_18	positive	whradjbmi	Sex-combined
9849_13	positive	whradjbmi	Sex-combined
11352_42	positive	whradjbmi	Sex-combined
6372_7	positive	whradjbmi	Sex-combined
6238_55	positive	whradjbmi	Sex-combined
6962_5	positive	whradjbmi	Sex-combined
8931_124	positive	whradjbmi	Sex-combined
6929_10	positive	whradjbmi	Sex-combined
17156_72	negative	whradjbmi	Sex-combined
4883_56	positive	whradjbmi	Sex-combined
15607_56	positive	whradjbmi	Sex-combined
17672_184	positive	whradjbmi	Sex-combined
11716_28	positive	whradjbmi	Sex-combined
19448_104	positive	whradjbmi	Sex-combined
12363_70	positive	whradjbmi	Sex-combined
13623_4	positive	whradjbmi	Sex-combined
5070_76	positive	whradjbmi	Sex-combined
7020_13	positive	whradjbmi	Sex-combined
14129_1	positive	whradjbmi	Sex-combined
15324_58	positive	whradjbmi	Sex-combined
6069_71	positive	whradjbmi	Sex-combined
13460_4	negative	whradjbmi	Sex-combined
12847_27	positive	whradjbmi	Sex-combined
7767_1	positive	whradjbmi	Sex-combined
9876_20	positive	whradjbmi	Sex-combined
3132_1	positive	whradjbmi	Sex-combined
3607_71	negative	whradjbmi	Sex-combined
17728_61	positive	whradjbmi	Sex-combined
14149_9	positive	whradjbmi	Sex-combined
4785_30	positive	whradjbmi	Sex-combined
17778_19	positive	whradjbmi	Sex-combined
3630_27	negative	whradjbmi	Sex-combined
12821_6	positive	whradjbmi	Sex-combined
2952_75	negative	whradjbmi	Sex-combined
12885_42	positive	whradjbmi	Sex-combined
9027_10	positive	whradjbmi	Sex-combined
11486_26	positive	whradjbmi	Sex-combined
4294_16	positive	whradjbmi	Sex-combined
16751_15	negative	whradjbmi	Sex-combined
3538_26	positive	whradjbmi	Sex-combined
13688_2	positive	whradjbmi	Sex-combined
9580_5	positive	whradjbmi	Sex-combined
12406_119	positive	whradjbmi	Sex-combined
3332_57	positive	whradjbmi	Sex-combined
9994_217	positive	whradjbmi	Sex-combined
5475_10	positive	whradjbmi	Sex-combined
9366_54	positive	whradjbmi	Sex-combined
6373_54	positive	whradjbmi	Sex-combined
8004_15	positive	whradjbmi	Sex-combined
2823_7	positive	whradjbmi	Sex-combined
3499_77	positive	whradjbmi	Sex-combined
13459_30	positive	whradjbmi	Sex-combined
14061_48	positive	whradjbmi	Sex-combined
3364_76	positive	whradjbmi	Sex-combined
9511_61	positive	whradjbmi	Sex-combined
5035_7	positive	whradjbmi	Sex-combined
9983_97	positive	whradjbmi	Sex-combined
3206_4	negative	whradjbmi	Sex-combined
18942_11	positive	whradjbmi	Sex-combined
19366_8	positive	whradjbmi	Sex-combined
9769_48	positive	whradjbmi	Sex-combined
5602_62	positive	whradjbmi	Sex-combined
17857_6	positive	whradjbmi	Sex-combined
7696_3	positive	whradjbmi	Sex-combined
15430_165	positive	whradjbmi	Sex-combined
14287_6	positive	whradjbmi	Sex-combined
5465_32	positive	whradjbmi	Sex-combined
13495_48	positive	whradjbmi	Sex-combined
11422_2	positive	whradjbmi	Sex-combined
14051_54	positive	whradjbmi	Sex-combined
13513_174	positive	whradjbmi	Sex-combined
10981_56	positive	whradjbmi	Sex-combined
10612_18	positive	whradjbmi	Sex-combined
11433_11	positive	whradjbmi	Sex-combined
12575_30	positive	whradjbmi	Sex-combined
9402_18	positive	whradjbmi	Sex-combined
14011_17	positive	whradjbmi	Sex-combined
10713_151	positive	whradjbmi	Sex-combined
16916_19	negative	whradjbmi	Sex-combined
7761_125	positive	whradjbmi	Sex-combined
19270_26	positive	whradjbmi	Sex-combined
4995_16	positive	whradjbmi	Sex-combined
12401_3	positive	whradjbmi	Sex-combined
9495_10	positive	whradjbmi	Sex-combined
2190_55	positive	whradjbmi	Sex-combined
8967_6	positive	whradjbmi	Sex-combined
6555_58	positive	whradjbmi	Sex-combined
10024_44	positive	whradjbmi	Sex-combined
13990_1	positive	whradjbmi	Sex-combined
12715_30	negative	whradjbmi	Sex-combined
7873_32	positive	whradjbmi	Sex-combined
5085_18	positive	whradjbmi	Sex-combined
3592_4	positive	whradjbmi	Sex-combined
12529_32	positive	whradjbmi	Sex-combined
10081_17	positive	whradjbmi	Sex-combined
17199_43	positive	whradjbmi	Sex-combined
2876_74	positive	whradjbmi	Sex-combined
8941_4	positive	whradjbmi	Sex-combined
15453_3	positive	whradjbmi	Sex-combined
19197_95	positive	whradjbmi	Sex-combined
13711_10	positive	whradjbmi	Sex-combined
6920_1	negative	whradjbmi	Sex-combined
13570_43	positive	whradjbmi	Sex-combined
8893_29	positive	whradjbmi	Sex-combined
15495_9	positive	whradjbmi	Sex-combined
7247_1	positive	whradjbmi	Sex-combined
8345_27	positive	whradjbmi	Sex-combined
6117_4	positive	whradjbmi	Sex-combined
12580_7	positive	whradjbmi	Sex-combined
17821_20	positive	whradjbmi	Sex-combined
9941_70	positive	whradjbmi	Sex-combined
6951_26	positive	whradjbmi	Sex-combined
12888_18	positive	whradjbmi	Sex-combined
15435_4	positive	whradjbmi	Sex-combined
16060_99	positive	whradjbmi	Sex-combined
17441_4	positive	whradjbmi	Sex-combined
9126_171	negative	whradjbmi	Sex-combined
18859_7	positive	whradjbmi	Sex-combined
18387_7	positive	whradjbmi	Sex-combined
8235_48	negative	whradjbmi	Sex-combined
3627_71	positive	whradjbmi	Sex-combined
14713_46	positive	whradjbmi	Sex-combined
8347_222	positive	whradjbmi	Sex-combined
3452_17	positive	whradjbmi	Sex-combined
8929_7	positive	whradjbmi	Sex-combined
6267_51	positive	whradjbmi	Sex-combined
13133_73	negative	whradjbmi	Sex-combined
3342_76	positive	whradjbmi	Sex-combined
13622_16	positive	whradjbmi	Sex-combined
9897_9	positive	whradjbmi	Sex-combined
19561_216	positive	whradjbmi	Sex-combined
3305_6	negative	whradjbmi	Sex-combined
3809_1	positive	whradjbmi	Sex-combined
4194_26	positive	whradjbmi	Sex-combined
4834_61	negative	whradjbmi	Sex-combined
15670_15	positive	whradjbmi	Sex-combined
12713_365	positive	whradjbmi	Sex-combined
19122_47	positive	whradjbmi	Sex-combined
6577_64	positive	whradjbmi	Sex-combined
18894_1	positive	whradjbmi	Sex-combined
4911_49	negative	whradjbmi	Sex-combined
9251_28	positive	whradjbmi	Sex-combined
17347_80	positive	whradjbmi	Sex-combined
13494_6	positive	whradjbmi	Sex-combined
4568_17	negative	whradjbmi	Sex-combined
5491_12	positive	whradjbmi	Sex-combined
5739_75	positive	whradjbmi	Sex-combined
6937_251	positive	whradjbmi	Sex-combined
14066_49	positive	whradjbmi	Sex-combined
12980_31	positive	whradjbmi	Sex-combined
12329_21	positive	whradjbmi	Sex-combined
5238_26	positive	whradjbmi	Sex-combined
9830_109	positive	whradjbmi	Sex-combined
10563_13	positive	whradjbmi	Sex-combined
7132_55	positive	whradjbmi	Sex-combined
9802_27	positive	whradjbmi	Sex-combined
3222_11	positive	whradjbmi	Sex-combined
18871_24	negative	whradjbmi	Sex-combined
15447_45	positive	whradjbmi	Sex-combined
13691_10	positive	whradjbmi	Sex-combined
12530_14	positive	whradjbmi	Sex-combined
19147_6	positive	whradjbmi	Sex-combined
13449_25	positive	whradjbmi	Sex-combined
6450_8	positive	whradjbmi	Sex-combined
9928_125	positive	whradjbmi	Sex-combined
17712_7	positive	whradjbmi	Sex-combined
7085_81	positive	whradjbmi	Sex-combined
13481_24	positive	whradjbmi	Sex-combined
5988_49	positive	whradjbmi	Sex-combined
7903_18	positive	whradjbmi	Sex-combined
11544_39	positive	whradjbmi	Sex-combined
8874_53	positive	whradjbmi	Sex-combined
13960_15	positive	whradjbmi	Sex-combined
11120_49	positive	whradjbmi	Sex-combined
12954_71	positive	whradjbmi	Sex-combined
2524_56	positive	whradjbmi	Sex-combined
4548_4	positive	whradjbmi	Sex-combined
9986_14	negative	whradjbmi	Sex-combined
15522_2	negative	whradjbmi	Sex-combined
17696_1	positive	whradjbmi	Sex-combined
7891_45	positive	whradjbmi	Sex-combined
18916_25	positive	whradjbmi	Sex-combined
12759_47	positive	whradjbmi	Sex-combined
13942_140	positive	whradjbmi	Sex-combined
11549_6	positive	whradjbmi	Sex-combined
17812_2	positive	whradjbmi	Sex-combined
14226_120	positive	whradjbmi	Sex-combined
14283_12	positive	whradjbmi	Sex-combined
14047_78	positive	whradjbmi	Sex-combined
5843_60	negative	whradjbmi	Sex-combined
6974_6	positive	whradjbmi	Sex-combined
12644_63	positive	whradjbmi	Sex-combined
6274_15	positive	whradjbmi	Sex-combined
13655_34	positive	whradjbmi	Sex-combined
4359_87	positive	whradjbmi	Sex-combined
12705_9	positive	whradjbmi	Sex-combined
8391_12	positive	whradjbmi	Sex-combined
10714_7	positive	whradjbmi	Sex-combined
17172_19	negative	whradjbmi	Sex-combined
19271_64	positive	whradjbmi	Sex-combined
12557_18	positive	whradjbmi	Sex-combined
12670_15	positive	whradjbmi	Sex-combined
5586_66	positive	whradjbmi	Sex-combined
14662_6	negative	whradjbmi	Sex-combined
19372_7	positive	whradjbmi	Sex-combined
8034_6	positive	whradjbmi	Sex-combined
9049_2	positive	whradjbmi	Sex-combined
13557_3	positive	whradjbmi	Sex-combined
3171_57	positive	whradjbmi	Sex-combined
19142_39	positive	whradjbmi	Sex-combined
12486_8	positive	whradjbmi	Sex-combined
14095_1	positive	whradjbmi	Sex-combined
15521_4	negative	whradjbmi	Sex-combined
11556_19	positive	whradjbmi	Sex-combined
17785_11	positive	whradjbmi	Sex-combined
4122_12	positive	whradjbmi	Sex-combined
3057_55	positive	whradjbmi	Sex-combined
11626_7	positive	whradjbmi	Sex-combined
5134_52	negative	whradjbmi	Sex-combined
7953_20	positive	whradjbmi	Sex-combined
9738_7	positive	whradjbmi	Sex-combined
11421_10	positive	whradjbmi	Sex-combined
16803_4	negative	whradjbmi	Sex-combined
2480_58	positive	whradjbmi	Sex-combined
9870_17	positive	whradjbmi	Sex-combined
3796_79	positive	whradjbmi	Sex-combined
6400_33	positive	whradjbmi	Sex-combined
6255_74	positive	whradjbmi	Sex-combined
4925_54	positive	whradjbmi	Sex-combined
10451_11	positive	whradjbmi	Sex-combined
10063_10	positive	whradjbmi	Sex-combined
17231_1	negative	whradjbmi	Sex-combined
6280_11	positive	whradjbmi	Sex-combined
3758_68	positive	whradjbmi	Sex-combined
12787_47	positive	whradjbmi	Sex-combined
8872_1	positive	whradjbmi	Sex-combined
18886_28	positive	whradjbmi	Sex-combined
17747_45	positive	whradjbmi	Sex-combined
8367_142	positive	whradjbmi	Sex-combined
9547_29	positive	whradjbmi	Sex-combined
9865_40	positive	whradjbmi	Sex-combined
7875_86	positive	whradjbmi	Sex-combined
19215_7	positive	whradjbmi	Sex-combined
12436_84	positive	whradjbmi	Sex-combined
9235_3	negative	whradjbmi	Sex-combined
11347_9	positive	whradjbmi	Sex-combined
6415_90	positive	whradjbmi	Sex-combined
7246_4	positive	whradjbmi	Sex-combined
12535_2	positive	whradjbmi	Sex-combined
6606_61	positive	whradjbmi	Sex-combined
8800_14	positive	whradjbmi	Sex-combined
14048_7	negative	whradjbmi	Sex-combined
9853_3	positive	whradjbmi	Sex-combined
8429_16	positive	whradjbmi	Sex-combined
18348_89	positive	whradjbmi	Sex-combined
7234_12	positive	whradjbmi	Sex-combined
5249_31	positive	whradjbmi	Sex-combined
13544_9	positive	whradjbmi	Sex-combined
5618_50	positive	whradjbmi	Sex-combined
18172_71	positive	whradjbmi	Sex-combined
13947_371	positive	whradjbmi	Sex-combined
11590_5	positive	whradjbmi	Sex-combined
11071_1	positive	whradjbmi	Sex-combined
9012_1	positive	whradjbmi	Sex-combined
17516_7	positive	whradjbmi	Sex-combined
3003_29	positive	whradjbmi	Sex-combined
16551_14	positive	whradjbmi	Sex-combined
7050_5	negative	whradjbmi	Sex-combined
8397_147	positive	whradjbmi	Sex-combined
8954_30	positive	whradjbmi	Sex-combined
12651_21	positive	whradjbmi	Sex-combined
5029_3	positive	whradjbmi	Sex-combined
4392_54	positive	whradjbmi	Sex-combined
12617_2	positive	whradjbmi	Sex-combined
9255_5	positive	whradjbmi	Sex-combined
5620_13	positive	whradjbmi	Sex-combined
9532_5	positive	whradjbmi	Sex-combined
12708_91	positive	whradjbmi	Sex-combined
11207_3	positive	whradjbmi	Sex-combined
3341_33	positive	whradjbmi	Sex-combined
9106_87	positive	whradjbmi	Sex-combined
16922_53	positive	whradjbmi	Sex-combined
15675_3	negative	whradjbmi	Sex-combined
4145_58	positive	whradjbmi	Sex-combined
12727_7	positive	whradjbmi	Sex-combined
18400_52	positive	whradjbmi	Sex-combined
10569_28	positive	whradjbmi	Sex-combined
8253_2	positive	whradjbmi	Sex-combined
7864_3	positive	whradjbmi	Sex-combined
10959_125	positive	whradjbmi	Sex-combined
12801_33	positive	whradjbmi	Sex-combined
10939_16	positive	whradjbmi	Sex-combined
3418_12	positive	whradjbmi	Sex-combined
3761_4	positive	whradjbmi	Sex-combined
12625_138	positive	whradjbmi	Sex-combined
11122_97	positive	whradjbmi	Sex-combined
19364_163	positive	whradjbmi	Sex-combined
17170_15	positive	whradjbmi	Sex-combined
2421_7	positive	whradjbmi	Sex-combined
7960_53	positive	whradjbmi	Sex-combined
5478_50	positive	whradjbmi	Sex-combined
12343_14	positive	whradjbmi	Sex-combined
9319_59	positive	whradjbmi	Sex-combined
3603_60	positive	whradjbmi	Sex-combined
12551_3	positive	whradjbmi	Sex-combined
