adiposity	sequence_id	protein	gene	cancer	group
BMI	6240_70	RSPO1	RSPO1	rectal	Sex-combined
BMI	6276_16	Furin	FURIN	proximal	Sex-combined
BMI	6315_58	PLBL1	PLBD1	proximal	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	overall	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	overall-HRC-EUR	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	proximal	Sex-combined
BMI	6441_62	ATS6	ADAMTS6	rectal	Sex-combined
BMI	6493_9	CBPZ	CPZ	distal	Sex-combined
BMI	6493_9	CBPZ	CPZ	rectal	Sex-combined
BMI	6497_10	XLRS1	RS1	overall-HRC-EUR	Sex-combined
BMI	6497_10	XLRS1	RS1	distal	Sex-combined
BMI	6497_10	XLRS1	RS1	rectal	Sex-combined
BMI	6507_16	NCAM2	NCAM2	rectal	Sex-combined
BMI	6520_87	MGP	MGP	overall	Sex-combined
BMI	6622_90	APEL	APLN	rectal	Sex-combined
BMI	6938_21	PCDGC	PCDHGA12	rectal	Sex-combined
BMI	7069_9	TSNA1	TSNARE1	proximal	Sex-combined
BMI	7070_25	KELL	KEL	distal	Sex-combined
BMI	7090_17	GALT1	GALNT1	proximal	Sex-combined
BMI	7147_35	WFDC8	WFDC8	distal	Sex-combined
BMI	7153_66	NGRN	NGRN	distal	Sex-combined
BMI	7153_66	NGRN	NGRN	rectal	Sex-combined
BMI	7257_18	TIP39	PTH2	rectal	Sex-combined
BMI	7737_76	ITB6	ITGB6	distal	Sex-combined
BMI	7785_1	Ephrin_B3	EFNB3	proximal	Sex-combined
BMI	7815_49	IBPL1	IGFBPL1	overall-HRC-EUR	Sex-combined
BMI	7815_49	IBPL1	IGFBPL1	distal	Sex-combined
BMI	7815_49	IBPL1	IGFBPL1	rectal	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	overall	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	overall-HRC-EUR	Sex-combined
BMI	7886_26	SPTC1	SPTLC1	colon	Sex-combined
BMI	7997_118	DOC2B	DOC2B	overall	Sex-combined
BMI	7997_118	DOC2B	DOC2B	overall-HRC-EUR	Sex-combined
BMI	7997_118	DOC2B	DOC2B	rectal	Sex-combined
BMI	8066_38	SYT9	SYT9	rectal	Sex-combined
BMI	8305_18	SULF2	SULF2	overall	Sex-combined
BMI	8305_18	SULF2	SULF2	overall-HRC-EUR	Sex-combined
BMI	8305_18	SULF2	SULF2	colon	Sex-combined
BMI	8305_18	SULF2	SULF2	distal	Sex-combined
BMI	8305_18	SULF2	SULF2	rectal	Sex-combined
BMI	8328_9	EKI1	ETNK1	overall-HRC-EUR	Sex-combined
BMI	8337_65	PTPRU	PTPRU	rectal	Sex-combined
BMI	8372_29	CDHR1	CDHR1	overall	Sex-combined
BMI	8372_29	CDHR1	CDHR1	overall-HRC-EUR	Sex-combined
BMI	8372_29	CDHR1	CDHR1	colon	Sex-combined
BMI	8372_29	CDHR1	CDHR1	distal	Sex-combined
BMI	8372_29	CDHR1	CDHR1	proximal	Sex-combined
BMI	8372_29	CDHR1	CDHR1	rectal	Sex-combined
BMI	8394_56	RNase_2	RNASE2	proximal	Sex-combined
BMI	8402_22	CYTL1	CYTL1	overall	Sex-combined
BMI	8589_13	CDCP1	CDCP1	distal	Sex-combined
BMI	8699_43	CRIM1	CRIM1	distal	Sex-combined
BMI	8758_2	PCDA7	PCDHA7	proximal	Sex-combined
BMI	8758_2	PCDA7	PCDHA7	rectal	Sex-combined
