sequence_id	protein	gene	adiposity	group	outcome
5879_51	Dynactin_subunit_2	DCTN2	BMI	Female	proximal
5915_58	PEX5	PEX5	BMI	Female	distal
6237_11	FGRL1	FGFRL1	BMI	Female	distal
6240_70	RSPO1	RSPO1	BMI	Female	proximal
6315_58	PLBL1	PLBD1	BMI	Female	proximal
6407_63	LAD1	LAD1	BMI	Female	proximal
6411_58	DB135	DEFB135	BMI	Female	overall
6411_58	DB135	DEFB135	BMI	Female	rectal
6430_36	F19A2	FAM19A2	BMI	Female	rectal
6493_9	CBPZ	CPZ	BMI	Female	proximal
6494_60	sperm_acrosome_associated_5	SPACA5	BMI	Female	rectal
6497_10	XLRS1	RS1	BMI	Female	proximal
6517_14	BMP_3b	GDF10	BMI	Female	distal
6631_17	CO9A1	COL9A1	BMI	Female	distal
6647_55	PolyUbiquitin_K63	UBC	BMI	Female	proximal
7006_4	COPA1	COL25A1	BMI	Female	proximal
7060_2	ERO1A	ERO1L	BMI	Female	rectal
7070_25	KELL	KEL	BMI	Female	distal
7071_23	MA1B1	MAN1B1	BMI	Female	overall
7071_23	MA1B1	MAN1B1	BMI	Female	rectal
7132_55	C1QL4	C1QL4	BMI	Female	overall
7132_55	C1QL4	C1QL4	BMI	Female	rectal
7147_35	WFDC8	WFDC8	BMI	Female	rectal
7192_37	CRF2_12	IFNLR1	BMI	Female	colon
7246_4	FREM2	FREM2	BMI	Female	proximal
7246_4	FREM2	FREM2	BMI	Female	rectal
7737_76	ITB6	ITGB6	BMI	Female	distal
7740_33	FATE1	FATE1	BMI	Female	distal
7782_34	EP3B	EDDM3B	BMI	Female	overall
7782_34	EP3B	EDDM3B	BMI	Female	colon
7782_34	EP3B	EDDM3B	BMI	Female	proximal
7782_34	EP3B	EDDM3B	BMI	Female	rectal
7790_21	LIF	LIF	BMI	Female	distal
7815_49	IBPL1	IGFBPL1	BMI	Female	proximal
7886_26	SPTC1	SPTLC1	BMI	Female	colon
7894_155	FGF_3	FGF3	BMI	Female	distal
7924_7	CD3G	CD3G	BMI	Female	distal
7932_23	SYT8	SYT8	BMI	Female	proximal
7947_19	AP4AT	ENTHD2	BMI	Female	overall
7960_53	POTEG	POTEG	BMI	Female	proximal
7995_16	VWC2L	VWC2L	BMI	Female	overall
7995_16	VWC2L	VWC2L	BMI	Female	rectal
7997_118	DOC2B	DOC2B	BMI	Female	proximal
8040_9	LEMD1	LEMD1	BMI	Female	distal
8089_173	NR4A1	NR4A1	BMI	Female	proximal
8089_173	NR4A1	NR4A1	BMI	Female	rectal
8321_27	ZN843	ZNF843	BMI	Female	proximal
8347_222	DB129	DEFB129	BMI	Female	distal
8357_43	ST4A1	SULT4A1	BMI	Female	overall
8357_43	ST4A1	SULT4A1	BMI	Female	distal
8357_43	ST4A1	SULT4A1	BMI	Female	proximal
8369_102	DAG1	DAG1	BMI	Female	overall
8369_102	DAG1	DAG1	BMI	Female	colon
8369_102	DAG1	DAG1	BMI	Female	rectal
8372_29	CDHR1	CDHR1	BMI	Female	rectal
8409_3	RSPO2	RSPO2	BMI	Female	overall
8480_29	FBLN3	EFEMP1	BMI	Female	overall
8520_8	ADA30	ADAM30	BMI	Female	proximal
8556_5	F134B	FAM134B	BMI	Female	distal
8748_45	HG2A	CD74	BMI	Female	rectal
8749_194	CD1D	CD1D	BMI	Female	proximal
8749_194	CD1D	CD1D	BMI	Female	rectal
8758_2	PCDA7	PCDHA7	BMI	Female	colon
8758_2	PCDA7	PCDHA7	BMI	Female	rectal
8800_14	TTC17	TTC17	BMI	Female	colon
8828_21	ESRP1	ESRP1	BMI	Female	distal
8838_10	CASC4	CASC4	BMI	Female	proximal
8850_5	PA2GC	PLA2G2C	BMI	Female	rectal
8858_21	BATF3	BATF3	BMI	Female	distal
8858_21	BATF3	BATF3	BMI	Female	proximal
8894_80	hnRNP_A_B	HNRNPAB	BMI	Female	proximal
8932_1	ENTP6	ENTPD6	BMI	Female	overall
8932_1	ENTP6	ENTPD6	BMI	Female	proximal
9075_121	K1024	KIAA1024	BMI	Female	distal
9125_23	MASP3	MASP1	BMI	Female	distal
9255_5	IL_17C	IL17C	BMI	Female	proximal
9287_6	SPRE	SPR	BMI	Female	proximal
9302_90	G45IP	GADD45GIP1	BMI	Female	rectal
9306_7	DB118	DEFB118	BMI	Female	distal
9402_18	DCBD1	DCBLD1	BMI	Female	overall
9402_18	DCBD1	DCBLD1	BMI	Female	distal
9402_18	DCBD1	DCBLD1	BMI	Female	rectal
9541_15	B3GT1	B3GALT1	BMI	Female	distal
9543_131	COG8	COG8	BMI	Female	proximal
9582_93	SUSD1	SUSD1	BMI	Female	proximal
9585_80	ACAM	CLMP	BMI	Female	proximal
9609_25	ZN275	ZNF275	BMI	Female	overall
9730_22	GHDC	GHDC	BMI	Female	distal
9832_33	HGD	HGD	BMI	Female	distal
9848_22	Cyclin_H	CCNH	BMI	Female	distal
9849_13	APEX1	APEX1	BMI	Female	colon
9925_56	SREC_II	SCARF2	BMI	Female	distal
9926_4	S100P	S100P	BMI	Female	rectal
9937_7	CXA1	GJA1	BMI	Female	distal
9971_5	CSMD2	CSMD2	BMI	Female	distal
