sequence_id	protein	gene	adiposity	group	outcome
5879_51	Dynactin_subunit_2	DCTN2	WHR	Sex-combined	distal
6497_10	XLRS1	RS1	WHR	Sex-combined	distal
6497_10	XLRS1	RS1	WHR	Sex-combined	rectal
6507_16	NCAM2	NCAM2	WHR	Sex-combined	rectal
6521_35	NPTX2	NPTX2	WHR	Sex-combined	colon
6572_10	LRRT4	LRRTM4	WHR	Sex-combined	colon
7090_17	GALT1	GALNT1	WHR	Sex-combined	proximal
7147_35	WFDC8	WFDC8	WHR	Sex-combined	distal
7153_66	NGRN	NGRN	WHR	Sex-combined	distal
7153_66	NGRN	NGRN	WHR	Sex-combined	rectal
7785_1	Ephrin_B3	EFNB3	WHR	Sex-combined	proximal
7886_26	SPTC1	SPTLC1	WHR	Sex-combined	overall
7886_26	SPTC1	SPTLC1	WHR	Sex-combined	colon
8066_38	SYT9	SYT9	WHR	Sex-combined	rectal
8305_18	SULF2	SULF2	WHR	Sex-combined	overall
8305_18	SULF2	SULF2	WHR	Sex-combined	colon
8305_18	SULF2	SULF2	WHR	Sex-combined	distal
8305_18	SULF2	SULF2	WHR	Sex-combined	rectal
8337_65	PTPRU	PTPRU	WHR	Sex-combined	rectal
8357_43	ST4A1	SULT4A1	WHR	Sex-combined	colon
8589_13	CDCP1	CDCP1	WHR	Sex-combined	distal
8699_43	CRIM1	CRIM1	WHR	Sex-combined	distal
8993_151	RIPK2	RIPK2	WHR	Sex-combined	colon
8993_151	RIPK2	RIPK2	WHR	Sex-combined	distal
9061_3	ARHGA	ARHGEF10	WHR	Sex-combined	distal
9095_5	MTFR1	MTFR1	WHR	Sex-combined	overall
9255_5	IL_17C	IL17C	WHR	Sex-combined	distal
9255_5	IL_17C	IL17C	WHR	Sex-combined	rectal
9582_93	SUSD1	SUSD1	WHR	Sex-combined	distal
9609_25	ZN275	ZNF275	WHR	Sex-combined	proximal
9834_62	ADH1B	ADH1B	WHR	Sex-combined	overall
