sequence_id	protein	gene	adiposity	group
13490_1	MPP6	MPP6	BMI	Male
13495_48	HCAR2	HCAR2	BMI	Male
13501_10	S35G2	SLC35G2	BMI	Male
13513_174	PIAS3	PIAS3	BMI	Male
13515_8	RPR1A	RPRD1A	BMI	Male
13517_3	PTHD3	PTCHD3	BMI	Male
13519_112	ARHGP	ARHGEF25	BMI	Male
13526_5	LA	SSB	BMI	Male
13532_25	NEPR1	CNEP1R1	BMI	Male
13549_15	ADA29	ADAM29	BMI	Male
13561_5	5HT6R	HTR6	BMI	Male
13604_27	NEUL1	NEURL1	BMI	Male
13614_6	CREB_binding_protein	CREBBP	BMI	Male
13623_4	MLL2	MLL2	BMI	Male
13631_1	RB_binding_protein_5	RBBP5	BMI	Male
13659_36	AT131	ATP13A1	BMI	Male
13665_35	PP2A__subunit_B	PPP2R3A	BMI	Male
13689_2	Ornithine_decarboxylase	ODC1	BMI	Male
13697_51	GPDA	GPD1	BMI	Male
13717_15	FCN2	FCN2	BMI	Male
13729_26	SFXN5	SFXN5	BMI	Male
13933_276	NAB1	NAB1	BMI	Male
13940_19	IP16	IFI16	BMI	Male
13941_82	SYFM	FARS2	BMI	Male
13942_140	SPSB1	SPSB1	BMI	Male
13961_18	KIF3A	KIF3A	BMI	Male
13979_3	S26A7	SLC26A7	BMI	Male
14002_18	DOCK9	DOCK9	BMI	Male
14005_2	CHD7	CHD7	BMI	Male
14012_17	LGP2	DHX58	BMI	Male
14024_196	EDA	EDA	BMI	Male
14034_22	GA733_1_protein	TACSTD2	BMI	Male
14048_7	IL_1_R_AcP	IL1RAP	BMI	Male
14060_67	NCF4	NCF4	BMI	Male
14063_17	OSM	OSM	BMI	Male
14079_14	IL_18_Ra	IL18R1	BMI	Male
14112_40	RELT	RELT	BMI	Male
14114_18	PIANP	PIANP	BMI	Male
14120_2	RNF43	RNF43	BMI	Male
14121_24	TRAIL_R4	TNFRSF10D	BMI	Male
14124_6	Ephrin_A2	EFNA2	BMI	Male
14143_8	H2B2E	HIST2H2BE	BMI	Male
14144_3	H2A3	HIST3H2A	BMI	Male
14208_3	RET7	RBP7	BMI	Male
14227_21	MYL6B	MYL6B	BMI	Male
14273_19	PPCE	PREP	BMI	Male
14329_4	DIDO1	DIDO1	BMI	Male
14337_1	TPPC3	TRAPPC3	BMI	Male
14593_152	F210A	FAM210A	BMI	Male
14615_46	4_KRA24	KRTAP2	BMI	Male
14618_26	ECOP	VOPP1	BMI	Male
14633_26	T185A	TMEM185A	BMI	Male
14636_25	Ribonuclease_UK114	HRSP12	BMI	Male
14663_44	RNF8	RNF8	BMI	Male
14687_6	M6PBP	PLIN3	BMI	Male
14689_3	SEC13	SEC13	BMI	Male
14711_27	Cystatin_M	CST6	BMI	Male
15306_20	IgJ	IGJ	BMI	Male
15310_61	PRC1	PRC1	BMI	Male
15315_64	CUTC	CUTC	BMI	Male
15318_75	Calpactin_I_light_chain	S100A10	BMI	Male
15321_8	CPLX2	CPLX2	BMI	Male
15326_64	GBP1	GBP1	BMI	Male
15331_47	RBBP4	RBBP4	BMI	Male
15361_37	ANKR1	ANKRD1	BMI	Male
15381_45	Discoidin_domain_receptor_2	DDR2	BMI	Male
15386_7	FABPA	FABP4	BMI	Male
15389_1	FRDA	FXN	BMI	Male
15390_3	Galanin	GAL	BMI	Male
15405_23	IFNA4	IFNA4	BMI	Male
15419_15	MMP20	MMP20	BMI	Male
15426_5	NEUR1	NEU1	BMI	Male
15430_165	OPT	OPTC	BMI	Male
15439_21	RND3	RND3	BMI	Male
15441_6	SAP3	GM2A	BMI	Male
15453_3	a1_Microglobulin	AMBP	BMI	Male
15460_9	CD26	DPP4	BMI	Male
15468_14	FHR1	CFHR1	BMI	Male
15483_377	Agrin	AGRN	BMI	Male
15486_126	ABP1	AOC1	BMI	Male
15487_164	carboxylesterase__liver	CES1	BMI	Male
15492_1	CRIM1	CRIM1	BMI	Male
