exposure	UNIPROT	group	outcome	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
LGALS3	P17931	Male	overall	3	IVW-MRE	0.267145969155427	0.0634335309290553	2.5375752495888e-05	1.30623110186613	1.15351782160056	1.47916196831266
LRP11	Q86VZ4	Male	overall	6	IVW-MRE	0.0736789436146734	0.0153859800643112	1.67859726861775e-06	1.07646114528673	1.04448341417583	1.1094179013138
LSP1	P33241	Male	overall	2	IVW-MRE	-0.0896884490638725	0.0181606433725007	7.86788567623076e-07	0.914215965747064	0.882246917735128	0.947343442323889
MMP12	P39900	Male	overall	2	IVW-MRE	0.0748562133542982	0.00371583914004599	2.96686048232356e-90	1.07772917668	1.06990854048664	1.08560697883489
MPI	P34949	Male	overall	4	IVW-MRE	-0.132378436452923	0.0289044827128093	4.6529094817553e-06	0.876009418445944	0.827760661476038	0.927070513157281
MUC16	Q8WXI7	Male	overall	2	IVW-MRE	0.0232970736207991	0.00551348178878815	2.38438417736186e-05	1.02357057020067	1.01256898328254	1.03469168963137
NFKBIE	O00221	Male	overall	2	IVW-MRE	0.0392355133622167	0.00619614442928036	2.41617189557124e-10	1.0400153923312	1.02746136969832	1.05272280611718
NUDT2	P50583	Male	overall	2	IVW-MRE	0.0159000608187514	0.000340250344671804	0	1.01602713941153	1.01534978627149	1.01670494442271
ODAM	A1E959	Male	overall	2	IVW-MRE	0.0899749245037599	0.0192456761206481	2.93850287593631e-06	1.09414684708607	1.05364270101896	1.13620805404967
PDCD5	O14737	Male	overall	2	IVW-MRE	0.0320253900886783	0.00348533812622993	3.97974265091101e-20	1.03254372134895	1.02551418156422	1.03962144616172
PLPBP	O94903	Male	overall	2	IVW-MRE	0.0124690967906104	0.00107388208191478	3.61359955600519e-31	1.01254716010023	1.01041818317642	1.0146806228328
PPCDC	Q96CD2	Male	overall	2	IVW-MRE	0.0622588016053322	0.00629986009237408	4.95461595119871e-23	1.06423773552512	1.05117761711666	1.07746011641905
PRTFDC1	Q9NRG1	Male	overall	3	IVW-MRE	-0.0549211765421514	0.00908459933740291	1.48923834422529e-09	0.946559756126046	0.929854653838961	0.96356497030833
PSRC1	Q6PGN9	Male	overall	2	IVW-MRE	-0.11698365372798	0.00727231625809683	3.1901281004178e-58	0.889599734683813	0.877009553227155	0.902370658378145
RAD23B	P54727	Male	overall	2	IVW-MRE	0.014279960902154	0.00274062655197607	1.88359699759379e-07	1.0143824066032	1.0089481301455	1.01984595251464
S100A11	P31949	Male	overall	2	IVW-MRE	0.0867234071240944	0.0113122453444798	1.76987321614681e-14	1.09059498719324	1.06668041087398	1.11504571937953
SAMD9L	Q8IVG5	Male	overall	2	IVW-MRE	0.0148677556914568	0.000516766879699037	4.98753058943268e-182	1.01497883056644	1.01395131643111	1.01600738596013
SETMAR	Q53H47	Male	overall	2	IVW-MRE	-0.0997242607354171	0.00582365848452368	9.83032746354445e-66	0.905086951641701	0.894814690947963	0.915477135454972
SHMT1	P34896	Male	overall	4	IVW-MRE	0.00821822732888668	0.00111326523714335	1.55820477900077e-13	1.00825208965831	1.00605448219651	1.01045449753465
SLAMF1	Q13291	Male	overall	4	IVW-MRE	0.147767864837162	0.0125164456356035	3.63890623524531e-32	1.15924376388673	1.13115092421412	1.18803430677822
