exposure	direction_group	outcome	group
REG1A	negative	rectal	Sex-combined
REG1B	negative	rectal	Sex-combined
REG3A	negative	rectal	Sex-combined
REG4	NA	rectal	Sex-combined
REN	NA	rectal	Sex-combined
RET	negative	rectal	Sex-combined
RETN	negative	rectal	Sex-combined
RGMA	positive	rectal	Sex-combined
RILP	positive	rectal	Sex-combined
RNASE3	positive	rectal	Sex-combined
ROBO1	negative	rectal	Sex-combined
ROBO2	negative	rectal	Sex-combined
RP2	NA	rectal	Sex-combined
RSPO3	positive	rectal	Sex-combined
RTBDN	NA	rectal	Sex-combined
RWDD1	NA	rectal	Sex-combined
S100A11	NA	rectal	Sex-combined
S100A12	positive	rectal	Sex-combined
S100A4	negative	rectal	Sex-combined
S100P	negative	rectal	Sex-combined
SAMD9L	NA	rectal	Sex-combined
SCARB2	negative	rectal	Sex-combined
SCG3	positive	rectal	Sex-combined
SCGB3A2	negative	rectal	Sex-combined
SCGN	negative	rectal	Sex-combined
SCLY	negative	rectal	Sex-combined
SCRN1	NA	rectal	Sex-combined
SELPLG	positive	rectal	Sex-combined
SEMA4D	negative	rectal	Sex-combined
SEPTIN9	NA	rectal	Sex-combined
SERPINA11	positive	rectal	Sex-combined
SERPINA12	positive	rectal	Sex-combined
SERPINB1	positive	rectal	Sex-combined
SERPINB8	NA	rectal	Sex-combined
SERPINB9	NA	rectal	Sex-combined
SERPINE1	negative	rectal	Sex-combined
SESTD1	positive	rectal	Sex-combined
SETMAR	NA	rectal	Sex-combined
SEZ6L	positive	rectal	Sex-combined
SEZ6L2	negative	rectal	Sex-combined
SFRP1	negative	rectal	Sex-combined
SFTPA2	negative	rectal	Sex-combined
SFTPD	positive	rectal	Sex-combined
SH2D1A	NA	rectal	Sex-combined
SHMT1	positive	rectal	Sex-combined
SIGLEC5	positive	rectal	Sex-combined
SIGLEC7	negative	rectal	Sex-combined
SIRPA	negative	rectal	Sex-combined
SIRT2	NA	rectal	Sex-combined
SIT1	negative	rectal	Sex-combined
SLAMF7	negative	rectal	Sex-combined
SLC39A14	NA	rectal	Sex-combined
SLC39A5	negative	rectal	Sex-combined
SLITRK6	positive	rectal	Sex-combined
SMOC1	positive	rectal	Sex-combined
SMOC2	positive	rectal	Sex-combined
SNAP23	NA	rectal	Sex-combined
SNX9	NA	rectal	Sex-combined
SOD1	negative	rectal	Sex-combined
SOST	positive	rectal	Sex-combined
SPARC	negative	rectal	Sex-combined
SPARCL1	positive	rectal	Sex-combined
SPINK4	negative	rectal	Sex-combined
SPINK5	positive	rectal	Sex-combined
SPINT2	negative	rectal	Sex-combined
SRP14	NA	rectal	Sex-combined
SRPK2	positive	rectal	Sex-combined
SSC4D	positive	rectal	Sex-combined
SSC5D	negative	rectal	Sex-combined
ST3GAL1	negative	rectal	Sex-combined
STAMBP	positive	rectal	Sex-combined
STAT5B	NA	rectal	Sex-combined
STIP1	NA	rectal	Sex-combined
STK24	NA	rectal	Sex-combined
STX4	NA	rectal	Sex-combined
STX8	NA	rectal	Sex-combined
SULT2A1	positive	rectal	Sex-combined
SUMF2	positive	rectal	Sex-combined
SUSD1	negative	rectal	Sex-combined
SUSD2	positive	rectal	Sex-combined
TACC3	positive	rectal	Sex-combined
TAFA5	NA	rectal	Sex-combined
TARBP2	NA	rectal	Sex-combined
TBC1D23	positive	rectal	Sex-combined
TBC1D5	NA	rectal	Sex-combined
TBCC	negative	rectal	Sex-combined
TBL1X	negative	rectal	Sex-combined
TCL1A	positive	rectal	Sex-combined
TDGF1	NA	rectal	Sex-combined
TDRKH	positive	rectal	Sex-combined
TFF1	positive	rectal	Sex-combined
TFF3	negative	rectal	Sex-combined
TFPI	positive	rectal	Sex-combined
TFPI2	negative	rectal	Sex-combined
TGFB1	negative	rectal	Sex-combined
TGFBI	negative	rectal	Sex-combined
TGFBR3	negative	rectal	Sex-combined
TGM2	NA	rectal	Sex-combined
THBD	negative	rectal	Sex-combined
THBS2	positive	rectal	Sex-combined
THPO	negative	rectal	Sex-combined
THY1	positive	rectal	Sex-combined
TIA1	NA	rectal	Sex-combined
TIE1	negative	rectal	Sex-combined
TIGAR	NA	rectal	Sex-combined
TIMP1	negative	rectal	Sex-combined
TINAGL1	positive	rectal	Sex-combined
TLR3	negative	rectal	Sex-combined
TMPRSS15	negative	rectal	Sex-combined
TMPRSS5	positive	rectal	Sex-combined
TNC	positive	rectal	Sex-combined
TNFRSF10C	negative	rectal	Sex-combined
TNFRSF11A	positive	rectal	Sex-combined
TNFRSF11B	negative	rectal	Sex-combined
TNFRSF12A	NA	rectal	Sex-combined
TNFRSF13B	positive	rectal	Sex-combined
TNFRSF13C	positive	rectal	Sex-combined
TNFRSF14	positive	rectal	Sex-combined
TNFRSF19	positive	rectal	Sex-combined
TNFRSF6B	positive	rectal	Sex-combined
TNFRSF9	positive	rectal	Sex-combined
TNFSF10	negative	rectal	Sex-combined
TNR	negative	rectal	Sex-combined
TNXB	positive	rectal	Sex-combined
TPMT	NA	rectal	Sex-combined
TREM2	positive	rectal	Sex-combined
TSHB	positive	rectal	Sex-combined
TXLNA	NA	rectal	Sex-combined
TXNDC15	positive	rectal	Sex-combined
TXNDC5	negative	rectal	Sex-combined
TYMP	NA	rectal	Sex-combined
ULBP2	negative	rectal	Sex-combined
UMOD	negative	rectal	Sex-combined
USO1	negative	rectal	Sex-combined
UXS1	negative	rectal	Sex-combined
VCAM1	negative	rectal	Sex-combined
VCAN	negative	rectal	Sex-combined
VEGFC	negative	rectal	Sex-combined
VPS37A	NA	rectal	Sex-combined
VSIG4	positive	rectal	Sex-combined
VSIR	negative	rectal	Sex-combined
VSTM1	NA	rectal	Sex-combined
VSTM2L	NA	rectal	Sex-combined
VTA1	positive	rectal	Sex-combined
VWA1	negative	rectal	Sex-combined
VWC2	NA	rectal	Sex-combined
WAS	NA	rectal	Sex-combined
WASF1	NA	rectal	Sex-combined
WFDC2	positive	rectal	Sex-combined
WFIKKN2	negative	rectal	Sex-combined
WWP2	NA	rectal	Sex-combined
XCL1	negative	rectal	Sex-combined
