exposure	direction_group	outcome	group
MFGE8	positive	distal	Female
MIA	positive	distal	Female
MICB_MICA	negative	distal	Female
MIF	negative	distal	Female
MILR1	positive	distal	Female
MITD1	NA	distal	Female
MME	negative	distal	Female
MMP1	negative	distal	Female
MMP10	NA	distal	Female
MMP12	NA	distal	Female
MMP3	negative	distal	Female
MMP7	negative	distal	Female
MMP8	NA	distal	Female
MMP9	positive	distal	Female
MPHOSPH8	NA	distal	Female
MPI	negative	distal	Female
MPIG6B	positive	distal	Female
MPO	negative	distal	Female
MSLN	positive	distal	Female
MSMB	negative	distal	Female
MSR1	positive	distal	Female
MSRA	NA	distal	Female
MUC13	positive	distal	Female
MUC16	NA	distal	Female
MZT1	NA	distal	Female
NAAA	positive	distal	Female
NADK	negative	distal	Female
NCAN	positive	distal	Female
NCR1	negative	distal	Female
NCS1	negative	distal	Female
NECTIN4	positive	distal	Female
NEFL	NA	distal	Female
NELL1	negative	distal	Female
NELL2	negative	distal	Female
NFKBIE	NA	distal	Female
NID1	negative	distal	Female
NID2	positive	distal	Female
NOS3	NA	distal	Female
NOTCH1	negative	distal	Female
NOTCH3	negative	distal	Female
NPPB	NA	distal	Female
NPPC	NA	distal	Female
NPTX1	positive	distal	Female
NPTXR	negative	distal	Female
NRCAM	positive	distal	Female
NRP2	positive	distal	Female
NSFL1C	NA	distal	Female
NTF3	negative	distal	Female
NTproBNP	negative	distal	Female
NUB1	positive	distal	Female
NUDC	NA	distal	Female
NUDT2	NA	distal	Female
NUDT5	NA	distal	Female
OBP2B	positive	distal	Female
ODAM	NA	distal	Female
OLR1	positive	distal	Female
OMG	positive	distal	Female
OPTC	negative	distal	Female
OSCAR	positive	distal	Female
OSM	positive	distal	Female
PAEP	negative	distal	Female
PAM	negative	distal	Female
PAPPA	positive	distal	Female
PARK7	negative	distal	Female
PARP1	NA	distal	Female
PCSK9	negative	distal	Female
PDCD1	negative	distal	Female
PDCD5	NA	distal	Female
PDCD6	negative	distal	Female
PDGFA	positive	distal	Female
PDGFC	negative	distal	Female
PDGFRA	negative	distal	Female
PEAR1	negative	distal	Female
PEBP1	NA	distal	Female
PGF	NA	distal	Female
PGLYRP1	positive	distal	Female
PI3	positive	distal	Female
PIGR	positive	distal	Female
PIK3IP1	positive	distal	Female
PILRB	negative	distal	Female
PKLR	positive	distal	Female
PLA2G10	negative	distal	Female
PLA2G1B	positive	distal	Female
PLA2G2A	negative	distal	Female
PLA2G4A	NA	distal	Female
PLAU	negative	distal	Female
PLIN3	NA	distal	Female
PLPBP	NA	distal	Female
PLTP	negative	distal	Female
PLXDC1	positive	distal	Female
PLXNA4	positive	distal	Female
PLXNB2	positive	distal	Female
PM20D1	positive	distal	Female
PMVK	negative	distal	Female
PNPT1	NA	distal	Female
PODXL	negative	distal	Female
PODXL2	positive	distal	Female
PON2	positive	distal	Female
PON3	negative	distal	Female
PPCDC	NA	distal	Female
PPP1R2	positive	distal	Female
PPP1R9B	NA	distal	Female
PRCP	negative	distal	Female
PRDX1	NA	distal	Female
PRDX5	NA	distal	Female
PRL	positive	distal	Female
PROC	negative	distal	Female
PROK1	NA	distal	Female
PRSS2	positive	distal	Female
PRSS27	positive	distal	Female
PRTFDC1	negative	distal	Female
PRTG	positive	distal	Female
PRTN3	positive	distal	Female
PSME1	NA	distal	Female
PSRC1	NA	distal	Female
PTGDS	NA	distal	Female
PTN	negative	distal	Female
PTPN1	NA	distal	Female
PTPN6	NA	distal	Female
PTPRS	positive	distal	Female
PVALB	positive	distal	Female
