exposure	direction_group	outcome	group
LGMN	negative	rectal	Male
LILRA2	positive	rectal	Male
LILRA5	negative	rectal	Male
LILRB1	positive	rectal	Male
LILRB2	positive	rectal	Male
LILRB4	NA	rectal	Male
LILRB5	NA	rectal	Male
LPO	positive	rectal	Male
LRP1	positive	rectal	Male
LRP11	positive	rectal	Male
LRPAP1	positive	rectal	Male
LSP1	NA	rectal	Male
LTA	negative	rectal	Male
LTBP3	negative	rectal	Male
LY6D	positive	rectal	Male
LY9	negative	rectal	Male
LYPD8	positive	rectal	Male
MANF	negative	rectal	Male
MANSC1	positive	rectal	Male
MAP2K6	NA	rectal	Male
MAP4K5	NA	rectal	Male
MARCO	positive	rectal	Male
MASP1	negative	rectal	Male
MATN2	negative	rectal	Male
MATN3	negative	rectal	Male
MB	negative	rectal	Male
MDGA1	positive	rectal	Male
MDK	negative	rectal	Male
MEGF10	positive	rectal	Male
MEGF9	positive	rectal	Male
MEPE	negative	rectal	Male
MERTK	negative	rectal	Male
MESD	negative	rectal	Male
MET	negative	rectal	Male
METAP1D	NA	rectal	Male
MFAP5	negative	rectal	Male
MFGE8	positive	rectal	Male
MGLL	negative	rectal	Male
MGMT	positive	rectal	Male
MIA	positive	rectal	Male
MILR1	positive	rectal	Male
MITD1	NA	rectal	Male
MME	positive	rectal	Male
MMP1	negative	rectal	Male
MMP10	NA	rectal	Male
MMP12	NA	rectal	Male
MMP3	positive	rectal	Male
MMP7	negative	rectal	Male
MMP8	NA	rectal	Male
MMP9	negative	rectal	Male
MPHOSPH8	NA	rectal	Male
MPI	negative	rectal	Male
MPIG6B	negative	rectal	Male
MPO	positive	rectal	Male
MSLN	positive	rectal	Male
MSR1	negative	rectal	Male
MSRA	NA	rectal	Male
MUC13	positive	rectal	Male
MUC16	NA	rectal	Male
MZT1	NA	rectal	Male
NAAA	positive	rectal	Male
NADK	negative	rectal	Male
NBL1	positive	rectal	Male
NCAM1	positive	rectal	Male
NCAM2	positive	rectal	Male
NCAN	positive	rectal	Male
NCF2	positive	rectal	Male
NCR1	negative	rectal	Male
NCS1	positive	rectal	Male
NECTIN4	negative	rectal	Male
NEFL	NA	rectal	Male
NELL1	positive	rectal	Male
NFASC	positive	rectal	Male
NFKBIE	NA	rectal	Male
NID2	positive	rectal	Male
NME3	negative	rectal	Male
NMNAT1	negative	rectal	Male
NOMO1	negative	rectal	Male
NOS3	NA	rectal	Male
NOTCH1	negative	rectal	Male
NOTCH3	positive	rectal	Male
NPDC1	negative	rectal	Male
NPPB	NA	rectal	Male
NPPC	NA	rectal	Male
NPTX1	positive	rectal	Male
NPY	negative	rectal	Male
NRP2	positive	rectal	Male
NSFL1C	NA	rectal	Male
NT5E	positive	rectal	Male
NTF3	negative	rectal	Male
NUB1	positive	rectal	Male
NUDC	NA	rectal	Male
NUDT2	NA	rectal	Male
NUDT5	NA	rectal	Male
OBP2B	positive	rectal	Male
ODAM	NA	rectal	Male
OGN	positive	rectal	Male
OLR1	negative	rectal	Male
OPTC	negative	rectal	Male
OSMR	positive	rectal	Male
OXT	negative	rectal	Male
PAEP	positive	rectal	Male
PAG1	negative	rectal	Male
PAM	negative	rectal	Male
PARK7	negative	rectal	Male
PARP1	NA	rectal	Male
PDCD5	NA	rectal	Male
PDGFC	positive	rectal	Male
PEBP1	NA	rectal	Male
PFKFB2	positive	rectal	Male
PGF	NA	rectal	Male
PGLYRP1	positive	rectal	Male
PI3	positive	rectal	Male
PIK3AP1	negative	rectal	Male
PIK3IP1	negative	rectal	Male
PILRA	positive	rectal	Male
PILRB	positive	rectal	Male
PKLR	positive	rectal	Male
PLA2G10	negative	rectal	Male
PLA2G15	negative	rectal	Male
PLA2G1B	positive	rectal	Male
PLA2G2A	negative	rectal	Male
PLA2G4A	NA	rectal	Male
PLA2G7	positive	rectal	Male
PLAU	positive	rectal	Male
PLIN3	NA	rectal	Male
PLPBP	NA	rectal	Male
PLTP	positive	rectal	Male
PLXNB2	positive	rectal	Male
PLXNB3	negative	rectal	Male
PMVK	negative	rectal	Male
PNPT1	NA	rectal	Male
PODXL	negative	rectal	Male
PODXL2	positive	rectal	Male
PON3	positive	rectal	Male
PPCDC	NA	rectal	Male
PPIB	negative	rectal	Male
PPP1R9B	NA	rectal	Male
PRCP	negative	rectal	Male
PRDX1	NA	rectal	Male
PRDX5	NA	rectal	Male
PRKAR1A	positive	rectal	Male
PRL	negative	rectal	Male
PROK1	NA	rectal	Male
PRSS2	positive	rectal	Male
PRSS27	positive	rectal	Male
PRTFDC1	negative	rectal	Male
PRTG	positive	rectal	Male
PRTN3	positive	rectal	Male
PSG1	negative	rectal	Male
PSIP1	negative	rectal	Male
PSME1	NA	rectal	Male
PSRC1	NA	rectal	Male
PTGDS	NA	rectal	Male
PTN	negative	rectal	Male
PTPN1	NA	rectal	Male
PTPN6	NA	rectal	Male
PTPRF	positive	rectal	Male
PTPRM	negative	rectal	Male
PTPRS	positive	rectal	Male
PTS	negative	rectal	Male
PTX3	negative	rectal	Male
PVR	NA	rectal	Male
QPCT	positive	rectal	Male
RAB6A	NA	rectal	Male
RABGAP1L	NA	rectal	Male
RAD23B	NA	rectal	Male
RBP5	positive	rectal	Male
REG1B	negative	rectal	Male
REG3A	negative	rectal	Male
REG4	NA	rectal	Male
REN	NA	rectal	Male
RET	negative	rectal	Male
RETN	negative	rectal	Male
RNASE3	positive	rectal	Male
RNASET2	negative	rectal	Male
ROBO1	negative	rectal	Male
ROR1	positive	rectal	Male
RP2	NA	rectal	Male
RSPO3	positive	rectal	Male
RTBDN	NA	rectal	Male
RWDD1	NA	rectal	Male
S100A11	NA	rectal	Male
S100A12	positive	rectal	Male
S100A16	positive	rectal	Male
S100A4	negative	rectal	Male
SAMD9L	NA	rectal	Male
SCAMP3	negative	rectal	Male
SCARB2	negative	rectal	Male
SCARF2	positive	rectal	Male
SCG3	positive	rectal	Male
SCGN	negative	rectal	Male
SCLY	negative	rectal	Male
SCRN1	NA	rectal	Male
SDC4	negative	rectal	Male
SELE	negative	rectal	Male
SELPLG	positive	rectal	Male
SEMA4D	negative	rectal	Male
SEPTIN9	NA	rectal	Male
SERPINA11	positive	rectal	Male
SERPINA12	positive	rectal	Male
SERPINB8	NA	rectal	Male
SERPINB9	NA	rectal	Male
SESTD1	negative	rectal	Male
SETMAR	NA	rectal	Male
SEZ6L	positive	rectal	Male
SF3B4	negative	rectal	Male
SFRP1	negative	rectal	Male
SFTPA2	negative	rectal	Male
SFTPD	positive	rectal	Male
SH2D1A	NA	rectal	Male
SHMT1	positive	rectal	Male
SIGLEC5	positive	rectal	Male
SIGLEC6	negative	rectal	Male
SIRPA	positive	rectal	Male
SIRPB1	positive	rectal	Male
SIRT2	NA	rectal	Male
SIT1	negative	rectal	Male
SKAP2	negative	rectal	Male
SLAMF1	positive	rectal	Male
SLAMF7	negative	rectal	Male
SLC27A4	negative	rectal	Male
SLC39A14	NA	rectal	Male
SLC39A5	negative	rectal	Male
SLITRK2	positive	rectal	Male
SLITRK6	positive	rectal	Male
SMOC1	positive	rectal	Male
SMOC2	positive	rectal	Male
SMPD1	negative	rectal	Male
SNAP23	NA	rectal	Male
SNX9	NA	rectal	Male
SOD1	negative	rectal	Male
SOD2	negative	rectal	Male
SOST	positive	rectal	Male
SPARCL1	positive	rectal	Male
SPINK4	negative	rectal	Male
SPINK5	positive	rectal	Male
SPINT1	positive	rectal	Male
SPINT2	negative	rectal	Male
SPOCK1	negative	rectal	Male
SRP14	NA	rectal	Male
SSC5D	positive	rectal	Male
ST3GAL1	negative	rectal	Male
ST6GAL1	negative	rectal	Male
STAT5B	NA	rectal	Male
STIP1	NA	rectal	Male
STK24	NA	rectal	Male
STK4	negative	rectal	Male
STX4	NA	rectal	Male
STX8	negative	rectal	Male
SULT2A1	positive	rectal	Male
SUMF2	negative	rectal	Male
SUSD1	negative	rectal	Male
SUSD2	positive	rectal	Male
TAFA5	NA	rectal	Male
TARBP2	NA	rectal	Male
TBC1D23	positive	rectal	Male
TBC1D5	NA	rectal	Male
TBCB	negative	rectal	Male
TCL1A	negative	rectal	Male
TDGF1	NA	rectal	Male
TDRKH	positive	rectal	Male
TFF1	positive	rectal	Male
TFF3	negative	rectal	Male
TFPI	positive	rectal	Male
TFPI2	negative	rectal	Male
TFRC	positive	rectal	Male
TGFA	negative	rectal	Male
TGFB1	positive	rectal	Male
TGFBR3	negative	rectal	Male
TGM2	NA	rectal	Male
THBS2	positive	rectal	Male
THBS4	positive	rectal	Male
THY1	negative	rectal	Male
TIA1	NA	rectal	Male
TIE1	negative	rectal	Male
TIGAR	NA	rectal	Male
TIMD4	positive	rectal	Male
TIMP3	negative	rectal	Male
TINAGL1	positive	rectal	Male
TLR3	positive	rectal	Male
TMPRSS15	negative	rectal	Male
TMPRSS5	positive	rectal	Male
TNC	positive	rectal	Male
TNF	negative	rectal	Male
TNFRSF10A	negative	rectal	Male
TNFRSF10B	negative	rectal	Male
TNFRSF10C	negative	rectal	Male
TNFRSF11A	positive	rectal	Male
TNFRSF11B	negative	rectal	Male
TNFRSF12A	NA	rectal	Male
TNFRSF13C	positive	rectal	Male
TNFRSF14	positive	rectal	Male
TNFRSF19	positive	rectal	Male
TNFRSF4	negative	rectal	Male
TNFRSF6B	positive	rectal	Male
TNFRSF9	positive	rectal	Male
TNFSF13	positive	rectal	Male
TNR	negative	rectal	Male
TNXB	positive	rectal	Male
TPMT	NA	rectal	Male
TPP1	negative	rectal	Male
TREM2	positive	rectal	Male
TREML2	positive	rectal	Male
TRIM21	negative	rectal	Male
TSHB	positive	rectal	Male
TXLNA	NA	rectal	Male
TXNDC15	positive	rectal	Male
TXNDC5	negative	rectal	Male
TYMP	NA	rectal	Male
TYRO3	positive	rectal	Male
ULBP2	negative	rectal	Male
UMOD	negative	rectal	Male
USO1	negative	rectal	Male
USP8	negative	rectal	Male
UXS1	negative	rectal	Male
VASH1	negative	rectal	Male
VCAM1	negative	rectal	Male
VEGFA	positive	rectal	Male
VEGFC	negative	rectal	Male
VEGFD	positive	rectal	Male
VMO1	positive	rectal	Male
VPS37A	NA	rectal	Male
VSIR	negative	rectal	Male
VSTM1	NA	rectal	Male
VSTM2L	NA	rectal	Male
WAS	NA	rectal	Male
WASF1	NA	rectal	Male
WFDC2	positive	rectal	Male
WFIKKN2	negative	rectal	Male
WIF1	negative	rectal	Male
WWP2	NA	rectal	Male
XCL1	negative	rectal	Male
XPNPEP2	positive	rectal	Male
YES1	NA	rectal	Male
ZBTB16	negative	rectal	Male
ZBTB17	NA	rectal	Male
