sequence_id	direction_group	outcome	group
12438_127	NA	overall	Sex-combined
12439_67	NA	overall	Sex-combined
12444_39	NA	overall	Sex-combined
12449_16	NA	overall	Sex-combined
12450_42	positive	overall	Sex-combined
12455_48	negative	overall	Sex-combined
12456_5	negative	overall	Sex-combined
12457_10	positive	overall	Sex-combined
12459_13	positive	overall	Sex-combined
12460_18	positive	overall	Sex-combined
12462_20	NA	overall	Sex-combined
12469_19	positive	overall	Sex-combined
12471_47	positive	overall	Sex-combined
12475_48	positive	overall	Sex-combined
12478_15	NA	overall	Sex-combined
12482_5	negative	overall	Sex-combined
12494_99	positive	overall	Sex-combined
12497_29	NA	overall	Sex-combined
12503_5	negative	overall	Sex-combined
12504_26	negative	overall	Sex-combined
12508_9	positive	overall	Sex-combined
12510_3	negative	overall	Sex-combined
12513_8	NA	overall	Sex-combined
12515_45	negative	overall	Sex-combined
12516_13	negative	overall	Sex-combined
12522_6	negative	overall	Sex-combined
12527_50	negative	overall	Sex-combined
12528_40	negative	overall	Sex-combined
12529_32	positive	overall	Sex-combined
12530_14	positive	overall	Sex-combined
12531_5	negative	overall	Sex-combined
12533_135	negative	overall	Sex-combined
12538_19	NA	overall	Sex-combined
12540_25	negative	overall	Sex-combined
12549_33	positive	overall	Sex-combined
12551_3	positive	overall	Sex-combined
12553_5	NA	overall	Sex-combined
12556_7	NA	overall	Sex-combined
12558_3	positive	overall	Sex-combined
12560_9	positive	overall	Sex-combined
12563_2	NA	overall	Sex-combined
12569_25	NA	overall	Sex-combined
12571_14	negative	overall	Sex-combined
12572_236	positive	overall	Sex-combined
12573_80	positive	overall	Sex-combined
12575_30	positive	overall	Sex-combined
12577_100	NA	overall	Sex-combined
12583_77	NA	overall	Sex-combined
12585_39	negative	overall	Sex-combined
12591_27	NA	overall	Sex-combined
12593_33	positive	overall	Sex-combined
12594_5	negative	overall	Sex-combined
12603_87	positive	overall	Sex-combined
12604_16	negative	overall	Sex-combined
12605_1	positive	overall	Sex-combined
12612_37	negative	overall	Sex-combined
12621_55	negative	overall	Sex-combined
12623_84	negative	overall	Sex-combined
12630_8	positive	overall	Sex-combined
12632_14	positive	overall	Sex-combined
12636_113	NA	overall	Sex-combined
12637_7	NA	overall	Sex-combined
12647_52	NA	overall	Sex-combined
12650_43	negative	overall	Sex-combined
12652_37	NA	overall	Sex-combined
12653_13	positive	overall	Sex-combined
12655_30	negative	overall	Sex-combined
12658_72	negative	overall	Sex-combined
12659_13	NA	overall	Sex-combined
12661_44	NA	overall	Sex-combined
12662_82	NA	overall	Sex-combined
12664_19	NA	overall	Sex-combined
12667_2	negative	overall	Sex-combined
12668_7	negative	overall	Sex-combined
12669_30	NA	overall	Sex-combined
12671_35	negative	overall	Sex-combined
12675_14	positive	overall	Sex-combined
12676_1	positive	overall	Sex-combined
12681_63	positive	overall	Sex-combined
12683_156	NA	overall	Sex-combined
12684_5	NA	overall	Sex-combined
12686_15	NA	overall	Sex-combined
12689_56	NA	overall	Sex-combined
12690_33	negative	overall	Sex-combined
12692_56	NA	overall	Sex-combined
12693_2	negative	overall	Sex-combined
12696_166	NA	overall	Sex-combined
12698_72	NA	overall	Sex-combined
12700_9	NA	overall	Sex-combined
12701_1	positive	overall	Sex-combined
12704_26	positive	overall	Sex-combined
12705_9	NA	overall	Sex-combined
12706_2	negative	overall	Sex-combined
12709_63	negative	overall	Sex-combined
12711_19	NA	overall	Sex-combined
12712_9	NA	overall	Sex-combined
12714_38	positive	overall	Sex-combined
12716_3	negative	overall	Sex-combined
12718_43	NA	overall	Sex-combined
12720_71	positive	overall	Sex-combined
12721_4	NA	overall	Sex-combined
12724_81	positive	overall	Sex-combined
12729_12	NA	overall	Sex-combined
12731_12	positive	overall	Sex-combined
12734_112	NA	overall	Sex-combined
12735_39	NA	overall	Sex-combined
12738_43	negative	overall	Sex-combined
12743_18	NA	overall	Sex-combined
12746_4	negative	overall	Sex-combined
12748_6	negative	overall	Sex-combined
12750_9	negative	overall	Sex-combined
12758_47	negative	overall	Sex-combined
12760_34	negative	overall	Sex-combined
12761_12	NA	overall	Sex-combined
12768_3	positive	overall	Sex-combined
12779_30	NA	overall	Sex-combined
12781_2	NA	overall	Sex-combined
12783_29	negative	overall	Sex-combined
12784_10	NA	overall	Sex-combined
12793_4	NA	overall	Sex-combined
12795_2	NA	overall	Sex-combined
12798_46	NA	overall	Sex-combined
12799_65	NA	overall	Sex-combined
12800_5	negative	overall	Sex-combined
12801_33	NA	overall	Sex-combined
12807_89	NA	overall	Sex-combined
12808_103	NA	overall	Sex-combined
12811_55	NA	overall	Sex-combined
12812_25	positive	overall	Sex-combined
12813_18	positive	overall	Sex-combined
12814_17	negative	overall	Sex-combined
12817_1	positive	overall	Sex-combined
12818_159	negative	overall	Sex-combined
12820_1	negative	overall	Sex-combined
12821_6	NA	overall	Sex-combined
12826_5	positive	overall	Sex-combined
12831_21	negative	overall	Sex-combined
12842_43	NA	overall	Sex-combined
12844_10	NA	overall	Sex-combined
12845_18	negative	overall	Sex-combined
12848_9	NA	overall	Sex-combined
12851_5	negative	overall	Sex-combined
12855_16	positive	overall	Sex-combined
12859_33	positive	overall	Sex-combined
12862_14	negative	overall	Sex-combined
12867_40	NA	overall	Sex-combined
12869_68	positive	overall	Sex-combined
12873_11	NA	overall	Sex-combined
12881_17	negative	overall	Sex-combined
12892_10	positive	overall	Sex-combined
12894_3	negative	overall	Sex-combined
12904_180	NA	overall	Sex-combined
12923_51	negative	overall	Sex-combined
12931_16	NA	overall	Sex-combined
12933_17	negative	overall	Sex-combined
12934_1	positive	overall	Sex-combined
12945_33	negative	overall	Sex-combined
12954_71	negative	overall	Sex-combined
12956_40	positive	overall	Sex-combined
12957_62	NA	overall	Sex-combined
12960_9	negative	overall	Sex-combined
12990_39	NA	overall	Sex-combined
12991_49	negative	overall	Sex-combined
12993_21	negative	overall	Sex-combined
13007_66	negative	overall	Sex-combined
13011_20	negative	overall	Sex-combined
13013_41	negative	overall	Sex-combined
13022_20	negative	overall	Sex-combined
13025_4	negative	overall	Sex-combined
13027_20	NA	overall	Sex-combined
13039_1	negative	overall	Sex-combined
13041_47	NA	overall	Sex-combined
13042_7	negative	overall	Sex-combined
13044_5	positive	overall	Sex-combined
13059_33	negative	overall	Sex-combined
13062_4	NA	overall	Sex-combined
13067_5	positive	overall	Sex-combined
13076_4	negative	overall	Sex-combined
13083_18	positive	overall	Sex-combined
